Routine,Title,Message,Status
*,NLP Suite reminders,Several NLP Suite scripts will fire up reminders for the user. You can turn them off once you are familiar with a script. You can always turn any reminder back ON (or OFF for that matter) if you select the reminders dropdown menu at the bottom of each GUI and then select a specific reminder (if reminders are available for that GUI).,OFF
*,Input/Output configurations,"Most GUIs in the NLP Suite provide two types of Input/Output (I/O) configurations that specify your selection for your input file or directory (these are MUTUALLY EXCLUSIVE. YOU CAN ONLY HAVE ONE OR THE OTHER BUT NOT BOTH) and output directory:

  Default I/O configuration
 GUI-specific I/O configuration

The Default I/O configuration applies to ALL GUIs in the NLP Suite. This is an ideal option if you work exclusively, or mostly, with the same input file(s) regardless of GUI (i.e., NLP algorithms); you would not need to select these options for every GUI.

If you occasionally need to run a script using a different set of I/O options, setup theGUI-specific I/O configuration. This will not affect your I/O selections for all GUIs and will only apply to a specific GUI if you chose the menu optionGUI-specific I/O configuration.",OFF
SVO,SVO output,"The SVO pipeline will create in output an SVO subdirectory inside the main output directory.

Depending upon the options you select it will also create different subdirectories (e.g., GIS, WordNet) inside the SVO subdirectory. Contrary to this, the creference resolution option will create a subdirectory inside the main output directory rather than the SVO subdirectory, since coreferenced files can then be used as input to any NLP algorithms.

Depending upon the options you select, the SVO pipeline will produce different types of files: cvf files, wordcloud image, Google Earth Pro map, and Gephi network graph.

While cvf and png files are easy to read, less so are Google Earth Pro kml files and, particularly, Gephi gexf files.

PLEASE, read the Gephi TIPS file before you run the SVO pipeline.",OFF
SVO,SVO default visualization options,"The SVO algorithms use default settings for visualizing results in Python Wordclouds and Google Earth Pro. If you want to customize the visualization options, please, use the Wordclouds GUI and the GIS Google Earth GUI with the csv files produced by SVO in input.",OFF
GIS,GIS default visualization options,"The Google Earth Pro visualization options in the GIS GUI are set by default. If you want to customize Google Earth Pro, please, use the GIS Google Earth GUI with the list of locations or of geocoded locations produced by the GIS pipeline as csv files.",OFF
GIS,GIS default GUI options,"The options available on the GUI have been automatically set for you depending upon the type of input file selected: txt or csv.

With a TXT file, NER extraction via Stanford CoreNLP must be first performed.

With a CSV file, the script checks whether the file is a CoNLL table, a geocoded file containing latitude and longitude values, or a file containing a list of locations that need to be geocoded.",OFF
GIS,Google Maps API,"If the heatmap produced by Google Maps is displayed correctly for a split second and then displays ""Oops! Something went wrong"" you probably:

   1. pasted incorrectly into the API key popup widget the Google API key;
   2. you may not have entered billing information when applying for an API key; billing information is required although it is VERY unlikely you will be charged since you are not producing maps on a massive scale;
   3. you may not have enabled the Maps JavaScript API (and if you use Google for geocoding, you also need to enable the Geocoding API).

Please, check the API key, your billing information, and the API enabled and try again.

PLEASE, read the TIPS_NLP_Google API Key.pdf for help.",OFF
*,csv files,"If csv ouput files open displaying weird characters in a Windows OS (e.g., a€), most likely the cause is due to non utf-8 compliant input text. Apostrophes and quotes are the typical culprits, but also other punctuation characters.

Please, run the tool to check documents for utf-8 compliance and, if necessary, run the tool for automatic apostrophe and quote conversion from non utf-8 to utf-8.

To learm more on utf-8 compliance, read the TIPS on utf-8 compliance.",OFF
SVO,SVO with corpus data,"You have selected to work with a set of txt files in a directory (your corpus).

Beware that SVO extraction with Stanford CoreNLP is computationally demanding. Furthermore, depending upon the options you choose (manual coreference editing, GIS maps), it may require manual input on each input file processed.

Depending upon corpus size, manual coreference is also not possible, due to memory requirements.",OFF
SVO,WordNet VERB aggregation,"CAVEAT!

For VERBS, the aggregated 'stative' category includes the auxiliary 'be' probably making up the vast majority of stative verbs. Similarly, the category 'possession' include the auxiliary 'have' (and 'get'). You may wish to exclude these auxiliary verbs from frequencies.

The WordNet_UP function will automatically compute VERB frequencies with/without auxiliaries and display both Excel charts.",OFF
